title,isbn,pageCount,publishedDate/$date,status
"Learn Windows PowerShell in a Month of Lunches, Second Edition",1617291080,0,2012-11-12T00:00:00.000-0800,PUBLISH
AOP in .NET,1617291145,0,2013-06-21T00:00:00.000-0700,PUBLISH
Learn PowerShell Toolmaking in a Month of Lunches,1617291161,0,2012-12-12T00:00:00.000-0800,PUBLISH
CMIS and Apache Chemistry in Action,1617291153,0,,PUBLISH
Action Guide (aka VB .NET),1930110324,0,,PUBLISH
Learn Active Directory Management in a Month of Lunches,1617291196,0,,PUBLISH
"Spring in Action, Fourth Edition",161729120X,0,,MEAP
The Mikado Method,1617291218,0,2014-03-05T00:00:00.000-0800,PUBLISH
The Responsive Web,1617291242,0,,MEAP
Fast ASP.NET Websites,1617291250,0,2013-08-29T00:00:00.000-0700,PUBLISH
SBT in Action,1617291277,0,,MEAP
PowerShell Deep Dives,1617291315,0,,PUBLISH
Gradle in Action,1617291307,0,2014-02-18T00:00:00.000-0800,PUBLISH
Scalatra in Action,1617291293,0,,MEAP
AngularJS in Action,1617291331,0,,MEAP
Software Development Metrics,1617291358,0,,MEAP
F# Deep Dives,1617291323,0,,MEAP
"C# in Depth, Third Edition",161729134X,0,2013-09-19T00:00:00.000-0700,PUBLISH
"PostGIS in Action, Second Edition",1617291390,0,,MEAP
"R in Action, Second Edition",1617291382,0,,MEAP
"The Joy of Clojure, Second Edition",1617291412,0,2014-05-29T00:00:00.000-0700,PUBLISH
iOS 7 in Action,1617291420,0,2014-04-03T00:00:00.000-0700,PUBLISH
Hello App Inventor!,1617291439,0,,MEAP
Ember.js in Action,1617291455,0,2014-06-10T00:00:00.000-0700,PUBLISH
Netty in Action,1617291471,0,,MEAP
RavenDB in Action,1617291501,0,,MEAP
OCP Java SE 7 Programmer II Certification Guide,161729148X,0,,MEAP
Backbone.js in Action,1617291536,0,,MEAP
"Clojure in Action, Second Edition",1617291528,0,,MEAP
Practical Data Science with R,1617291560,0,2014-04-02T00:00:00.000-0700,PUBLISH
Secrets of the JavaScript Ninja pBook upgrade,,0,,PUBLISH
ArcGIS Web Development,1617291617,0,,MEAP
Elasticsearch in Action,1617291625,0,,MEAP
Learn SCCM 2012 in a Month of Lunches,1617291684,0,,MEAP
Programming for Musicians and Digital Artists,1617291706,0,,MEAP
BDD in Action,161729165X,0,,MEAP
Windows Phone 8 in Action,1617291374,0,2013-12-31T00:00:00.000-0800,PUBLISH
Titanium Alloy in Action,1617291749,0,,MEAP
Giraph in Action,1617291757,0,,MEAP
"The Well-Grounded Rubyist, Second Edition",1617291692,0,2014-06-24T00:00:00.000-0700,PUBLISH
Go in Action,1617291781,0,,MEAP
The Programmer's Guide to Apache Thrift ,1617291811,0,,MEAP
Grokking Functional Programming,1617291838,0,,MEAP
CORS in Action,161729182X,0,,MEAP
Reactive Design Patterns,1617291803,0,,MEAP
Storm Applied,1617291897,0,,MEAP
Real-World Machine Learning,1617291927,0,,MEAP
jQuery UI in Action,1617291935,0,,MEAP
Web Components in Action,1617291943,0,,MEAP
JavaScript Application Design,1617291951,0,,MEAP
Git in Practice,1617291978,0,,MEAP
Impala in Action,1617291986,0,,MEAP
Java 8 in Action,1617291994,0,,MEAP
Elixir in Action,161729201X,0,,MEAP
"MongoDB in Action, Second Edition",1617291609,0,,MEAP
"Getting MEAN with Mongo, Express, Angular, and Node",1617292036,0,,MEAP
"jQuery in Action, Third Edition",1617292079,0,,MEAP
D3.js in Action,1617292117,0,,MEAP
Learn SQL Server Administration in a Month of Lunches,1617292133,0,2014-05-02T00:00:00.000-0700,PUBLISH
Geoprocessing with Python,1617292141,0,,MEAP
Barcodes with iOS,161729215X,0,,MEAP
Chef in Action,1617292214,0,,MEAP
"Hadoop in Practice, Second Edition",1617292222,0,,MEAP
Oculus Rift in Action,1617292192,0,,MEAP
OpenStack in Action,1617292168,0,,MEAP
"PowerShell in Depth, Second Edition",1617292184,0,,MEAP
Practical Probabilistic Programming,1617292338,0,,MEAP
Unity in Action,161729232X,0,,MEAP
Express.js in Action,1617292427,0,,MEAP
Learn Git in a Month of Lunches,1617292419,0,,MEAP
Understanding SPAs,1617292435,0,,MEAP
XSLT Quickly,1930110111,320,2001-05-01T00:00:00.000-0700,PUBLISH
Windows Forms Programming with C#,1930110286,752,2002-03-01T00:00:00.000-0800,PUBLISH
Windows Forms in Action,1932394656,950,2006-04-01T00:00:00.000-0800,PUBLISH
Event Processing in Action,1935182218,384,2010-08-15T00:00:00.000-0700,PUBLISH
The Well-Grounded Java Developer,1617290068,0,2012-07-10T00:00:00.000-0700,PUBLISH
Objective-C Fundamentals,1935182536,355,2011-09-13T00:00:00.000-0700,PUBLISH
ADO.NET Programming,1930110294,592,2002-07-01T00:00:00.000-0700,PUBLISH
WPF in Action with Visual Studio 2008,1933988223,520,2008-11-01T00:00:00.000-0700,PUBLISH
Location-Aware Applications,1935182331,320,2011-07-28T00:00:00.000-0700,PUBLISH
"Web Development with JavaServer Pages, Second Edition",193011012X,800,2001-11-01T00:00:00.000-0800,PUBLISH
IntelliJ IDEA in Action,1932394443,450,2006-03-01T00:00:00.000-0800,PUBLISH
Spring Integration in Action,1935182439,400,2012-09-19T00:00:00.000-0700,PUBLISH
The Joy of Clojure,1935182641,360,2011-03-25T00:00:00.000-0700,PUBLISH
Dynamic WAP Application Development,1930110081,888,2002-08-01T00:00:00.000-0700,PUBLISH
IronPython in Action,1933988339,496,2009-03-01T00:00:00.000-0800,PUBLISH
Art of Java Web Development,1932394060,624,2003-11-01T00:00:00.000-0800,PUBLISH
Java Reflection in Action,1932394184,300,2004-10-01T00:00:00.000-0700,PUBLISH
Programming Windows Server 2003,1930110987,328,2003-08-01T00:00:00.000-0700,PUBLISH
Struts Recipes,1932394249,520,2004-11-01T00:00:00.000-0800,PUBLISH
Hello! iOS Development,1935182986,0,2013-07-28T00:00:00.000-0700,PUBLISH
Jess in Action,1930110898,480,2003-06-01T00:00:00.000-0700,PUBLISH
Remote LAN Access,134944518,300,1996-06-01T00:00:00.000-0700,PUBLISH
J2EE and XML Development,1930110308,304,2002-03-01T00:00:00.000-0800,PUBLISH
Eclipse in Action,1930110960,416,2003-05-01T00:00:00.000-0700,PUBLISH
ASP.NET AJAX in Action,1933988142,570,2007-09-01T00:00:00.000-0700,PUBLISH
Ext JS in Action,1935182110,425,2010-12-05T00:00:00.000-0800,PUBLISH
Sencha Touch in Action,1617290378,375,2013-07-12T00:00:00.000-0700,PUBLISH
DSLs in Action,1935182455,376,2010-12-01T00:00:00.000-0800,PUBLISH
Database Programming for Handheld Devices,1884777856,0,2000-07-01T00:00:00.000-0700,PUBLISH
Jakarta Commons Online Bookshelf,1932394524,402,2005-03-01T00:00:00.000-0800,PUBLISH
Browsing with HttpClient,1932394524a-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
Codec: Encoders and Decoders,1932394524j-e,0,2005-03-01T00:00:00.000-0800,PUBLISH
